world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
401-500,Makerere University,Uganda,Africa,15.1,58.0,10.6,70.7,28.0,34.0,37340.0,29.4,9.0,50 : 50,50.0
401-500,Marche Polytechnic University,Italy,Europe,15.2,27.3,11.0,80.2,28.0,34.7,16589.0,23.0,4.0,45 : 55,45.0
401-500,"University of Maryland, Baltimore County",United States of America,North_America,21.3,28.2,18.2,61.3,31.7,33.1,13908.0,18.1,7.0,46 : 54,46.0
401-500,Murdoch University,Australia,Oceania,18.7,88.3,19.6,51.2,36.5,34.4,16606.0,32.8,43.0,59 : 41,59.0
401-500,University of Nantes,France,Europe,19.6,35.1,12.2,69.4,,,33866.0,22.2,11.0,56 : 44,56.0
401-500,National and Kapodistrian University of Athens,Greece,Europe,26.7,39.0,16.3,45.8,,,63052.0,32.3,9.0,61 : 39,61.0
401-500,National Autonomous University of Mexico,Mexico,North_America,42.7,35.9,40.2,14.8,63.7,33.6,137378.0,11.6,5.0,51 : 49,51.0
401-500,National Cheng Kung University,Taiwan,Asia,29.8,27.7,40.2,27.2,100.0,33.7,21234.0,14.4,11.0,36 : 64,36.0
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),France,Europe,27.0,63.6,10.6,41.8,40.3,29.6,6137.0,8.2,31.0,31 : 69,31.0
401-500,National Yang-Ming University,Taiwan,Asia,41.5,15.8,18.5,33.3,30.2,29.9,4496.0,5.4,2.0,48 : 52,48.0
401-500,University of Neuchâtel,Switzerland,Europe,24.2,91.4,14.7,48.2,,,4358.0,8.5,22.0,59 : 41,59.0
401-500,New University of Lisbon,Portugal,Europe,26.9,44.5,21.9,38.3,41.3,30.5,18867.0,17.9,7.0,49 : 51,49.0
401-500,University of Nice Sophia Antipolis,France,Europe,21.4,79.5,16.1,53.7,28.5,34.0,27304.0,20.3,22.0,56 : 44,56.0
401-500,Novosibirsk State University,Russian Federation,Asia,41.4,32.4,30.8,26.2,38.2,32.9,7131.0,7.1,13.0,52 : 48,52.0
401-500,The Open University,United Kingdom,Europe,21.0,51.5,13.8,60.3,28.4,33.1,76683.0,35.9,9.0,61 : 39,61.0
401-500,Oxford Brookes University,United Kingdom,Europe,25.7,68.9,18.8,42.7,28.4,32.0,14238.0,18.5,25.0,57 : 43,57.0
401-500,University of Palermo,Italy,Europe,15.3,23.6,9.1,77.4,28.0,33.0,43875.0,22.4,1.0,60 : 40,60.0
401-500,University of Parma,Italy,Europe,17.7,36.8,16.6,56.4,37.1,30.9,26937.0,29.1,7.0,56 : 44,56.0
401-500,University of Pisa,Italy,Europe,21.6,31.1,18.9,64.5,31.4,34.6,47247.0,18.0,4.0,52 : 48,52.0
401-500,Polytechnic University of Catalonia,Spain,Europe,25.2,63.9,14.8,44.7,40.9,31.2,22893.0,11.7,28.0,12 : 88,12.0
401-500,Pontifical Catholic University of Chile,Chile,South America,28.2,52.4,21.3,37.0,28.0,30.6,25075.0,15.3,7.0,,
